Address,Attractions,Great_for_walker,Homestay_name,Price_range,Restaurant_nearby,Review,Review_number,Travel_types,number_images_Traveler,number_room_dining,number_room_suite
"13 Phan Tinh Street Cua Dai Beach, Hoi An Vietnam",7,90,Huong My Beach Homestay,"Vietnam,Quang Nam Province,Hoi An",53,Excellent,46 reviews,"Families,Couples,Solo,Business,Friends"," (,19,) ",1,6
"Ha Trung Hamlet, Cam Nam, Hoi An 560000 Vietnam",166,68,Hoi An Corn Riverside Villa,"₫363,636, - ,₫613,636",184,Excellent,33 reviews,"Families,Couples,Solo,Business,Friends"," (,34,) ",2,9
"Tran Binh Trong, Hoi An 560000 Vietnam",10,71,Bamboo Hoi An Homestay,"₫568,182, - ,₫659,091",40,Excellent,41 reviews,"Families,Couples,Solo,Business,Friends",,N/A,N/A
"137 Nguyen Phan Vinh st. Hoian city, Hoi An 560000 Vietnam",5,82,An Bang Scent Beach Homestay,"₫659,091, - ,₫681,818",78,Excellent,36 reviews,"Families,Couples,Solo,Business,Friends"," (,87,) ",3,31
"06 - 08 Phan Boi Chau Street, Hoi An 051038 Vietnam",169,94,Ha An Hotel,"₫681,818, - ,₫1,227,273",139,Excellent,"1,808 reviews","Families,Couples,Solo,Business,Friends"," (,1013,) ",84,270
"An Hoi Islet, Hoi An Vietnam",52,100,Vinh Hung Emerald Resort,"₫954,545, - ,₫1,704,545",160,Excellent,"1,501 reviews","Families,Couples,Solo,Business,Friends"," (,1036,) ",182,6
"441/2 Cua Dai, Hoi An 560000 Vietnam",75,94,Mango Garden Hoi An Homestay,"₫227,273, - ,₫590,909",115,Excellent,191 reviews,"Families,Couples,Solo,Business,Friends"," (,31,) ",8,9
"02 Thanh Hoa Street, Hoi An 560000 Vietnam",4,59,Blue Lake Homestay,"₫272,727, - ,₫363,636",11,Excellent,68 reviews,"Families,Couples,Solo,Business,Friends"," (,63,) ",4,48
"14 Hung Vuong Street, Hoi An 560000 Vietnam",83,100,Silkotel Hoi An,"₫886,364, - ,₫3,431,818",160,Excellent,"1,035 reviews","Families,Couples,Solo,Business,Friends"," (,775,) ",99,171
"109 Ba Trieu, Hoi An Vietnam",243,89,Tribee Cotu,"₫386,364, - ,₫590,909",280,Excellent,59 reviews,"Families,Couples,Solo,Business,Friends"," (,14,) ",3,4
